product_ordered,organizationId,min_price,max_price,frequency,25_groups,35_groups,40_groups
HERB BASIL,tFwVht0zVlzfYANIVoKb,1.5,1.95,530,17,20,28
HERB BASIL,QBlfKe1hMKQYUV5uBDuu,1.95,1.95,184,17,20,28
HERB CHERVIL,OSORISTORANTE,3.0,3.0,1,17,20,15
HERB CHERVIL,c70c071d-6fcb-4596-bd16-86a26c4e36fc,3.0,3.0,140,17,20,15
HERB CHERVIL,x9bviQCfs5FSKkJJPnFj,3.0,3.2,318,17,20,15
HERB CHIVES,OSORISTORANTE,3.2,3.2,1,17,20,15
HERB CHIVES,BoByIwyIqjPV8cBUxLj9,3.2,3.2,6,17,20,15
HERB CHIVES,0crseC3fJ4blre9g6H26,3.0,3.0,135,17,20,15
HERB CHIVES,SBARTemlIRP0og3eXx8u,2.8,3.2,149,17,20,15
HERB CHIVES,d3f5c595-873c-481a-a024-3b209533d72e,3.2,4.0,149,17,20,15
HERB CHIVES,6CFhOC4Mui3XQXgA7bfq,2.8,2.8,53,17,20,15
HERB CHIVES,c70c071d-6fcb-4596-bd16-86a26c4e36fc,3.2,3.3,191,17,20,15
HERB CHIVES,qUaDyfzQ5GxFE9dyOhao,3.2,3.3,161,17,20,15
HERB CHIVES,TCNs6ubTKBzMTsSdTGOe,3.2,3.3,148,17,20,15
HERB CHIVES,b22762c4-577c-4195-9c19-367b566625c4,3.2,3.3,128,17,20,15
HERB CHIVES,3l2ChN6QwY5x8JTRJajV,3.2,3.2,316,17,20,15
HERB CHIVES,x9bviQCfs5FSKkJJPnFj,3.2,3.2,380,17,20,15
HERB CHIVES,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,3.2,3.2,385,17,20,15
HERB CHIVES,2SBVln3dsn5IX35mnJvy,2.8,3.3,431,17,20,15
HERB CHIVES,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,3.0,3.3,439,17,20,15
HERB CHIVES,BURNTENDS,2.8,3.3,850,17,20,15
HERB CHIVES,QBlfKe1hMKQYUV5uBDuu,3.0,3.3,296,17,20,15
PUMPKIN LOCAL,OSORISTORANTE,1.8,1.8,1,14,18,2
CRAB CLAW MEAT,OSORISTORANTE,16.5,16.5,1,14,6,38
RASPBERRY,OSORISTORANTE,7.0,7.0,1,14,6,15
RASPBERRY,0crseC3fJ4blre9g6H26,7.0,7.0,127,14,6,15
RASPBERRY,SBARTemlIRP0og3eXx8u,6.5,7.5,159,14,6,15
RASPBERRY,yPODHzRg7TAPcrDrNf17,7.0,7.0,169,14,6,15
RASPBERRY,b22762c4-577c-4195-9c19-367b566625c4,7.0,7.5,282,14,6,15
RASPBERRY,3l2ChN6QwY5x8JTRJajV,7.0,7.5,281,14,6,15
RASPBERRY,x9bviQCfs5FSKkJJPnFj,7.0,8.5,281,14,6,15
RASPBERRY,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,7.0,7.5,302,14,6,15
RASPBERRY,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,7.0,7.5,222,14,6,15
RASPBERRY,BURNTENDS,6.0,8.0,591,14,6,15
RASPBERRY,WILDHONEY,2.0,8.0,1297,14,6,15
POTATO RATTE,OSORISTORANTE,12.0,12.0,1,21,23,33
POTATO RATTE,TCNs6ubTKBzMTsSdTGOe,8.8,12.5,129,21,23,33
RUSSIAN METAL GR,OSORISTORANTE,74.25,74.25,1,14,6,15
LE STAGIONI WHEAT FLOUR SPOLVERINA,KTAxqP67pvl1eeLBgxjU,18.0,18.0,2,14,17,15
LE STAGIONI FLOUR NEAPOLITAN PROTEIN,KTAxqP67pvl1eeLBgxjU,40.0,40.0,2,14,17,15
WHITE TOWELS,KTAxqP67pvl1eeLBgxjU,10.0,10.0,1,22,10,8
CAPERS IN VINEGAR,KTAxqP67pvl1eeLBgxjU,11.9,11.9,1,14,22,15
ANCHOVY FILLETS IN SUNFLOWER OIL,KTAxqP67pvl1eeLBgxjU,2.4,2.4,1,7,22,15
TUNA CHUNK IN OIL,KTAxqP67pvl1eeLBgxjU,1.6,1.6,1,7,22,15
BLACK TRASH BAGS,KTAxqP67pvl1eeLBgxjU,9.3,9.3,1,14,21,15
SPINACH LEAVES,KTAxqP67pvl1eeLBgxjU,6.8,6.8,1,14,6,5
VEGETABLE OIL SUPER REFINED JERRICAN,KTAxqP67pvl1eeLBgxjU,52.0,52.0,1,7,6,15
MASCARPONE,KTAxqP67pvl1eeLBgxjU,6.9,6.9,1,14,6,15
NATURKRAFT PIZZA,KTAxqP67pvl1eeLBgxjU,4.9,4.9,1,14,6,15
FINE TABLE SALT,KTAxqP67pvl1eeLBgxjU,0.5,0.5,1,14,6,15
GRANA PADANO DOP,KTAxqP67pvl1eeLBgxjU,18.9,18.9,1,14,6,15
LE STAGIONI FLOUR SUPERIOR PROTEIN,KTAxqP67pvl1eeLBgxjU,40.0,40.0,1,14,17,15
COOKED HAM,KTAxqP67pvl1eeLBgxjU,14.9,14.9,1,14,1,0
CRUSHED BLACK PEPPER,KTAxqP67pvl1eeLBgxjU,24.0,24.0,1,14,21,15
RICE CARNAROLI,KTAxqP67pvl1eeLBgxjU,5.4,5.4,1,14,6,15
RED PEPPER CRUSHED,KTAxqP67pvl1eeLBgxjU,12.0,12.0,1,14,21,20
PARMA HAM RISERVA,KTAxqP67pvl1eeLBgxjU,34.0,34.0,1,14,1,15
FENNEL SEED,KTAxqP67pvl1eeLBgxjU,4.3,4.3,1,14,6,15
BAG SINGLET TRANSLUCENT HDPE BAG MIN,ouyiCAQkvTJUCRibRer4,0.55,2.6,2,14,0,30
SALTED PLUM SYRUP,ouyiCAQkvTJUCRibRer4,93.6,93.6,1,14,6,15
SPOON CHINESE BIG,ouyiCAQkvTJUCRibRer4,1.9,1.9,1,14,6,5
FRZ PASSION FRT PUREE RAVIFRUIT,ouyiCAQkvTJUCRibRer4,65.3,65.3,1,16,12,6
FRZ PASSION FRT PUREE RAVIFRUIT,nXTYOtjf2TXAXtdcbCwZ,13.06,77.0,99,16,12,6
FRZ LIME FRUIT PUREE RAVIFRUIT,ouyiCAQkvTJUCRibRer4,16.3,16.3,1,16,34,6
FRZ LEMON FRUIT PUREE RAVIFRUIT,ouyiCAQkvTJUCRibRer4,54.55,54.55,1,16,12,6
FRZ LEMON FRUIT PUREE RAVIFRUIT,nXTYOtjf2TXAXtdcbCwZ,54.55,65.0,94,16,12,6
MYLENE BRU COTEAUX DU LANGUEDOC LES MOULINS DE MON COEUR ML,ouyiCAQkvTJUCRibRer4,51.0,51.0,1,14,6,35
FILM ALPAK WSLIDE CUTER,ouyiCAQkvTJUCRibRer4,11.5,11.5,1,14,6,15
HUBERT HEIDI HAUSHERR ALSACE ALTENGARTEN LE JARDIN LAHAUT RIESLING GEWURZTRAMINER,ouyiCAQkvTJUCRibRer4,49.0,49.0,1,14,6,15
LE FERME DES SPET LUNES SAINTJOSEPH,ouyiCAQkvTJUCRibRer4,69.0,69.0,1,14,6,15
LES SABOTS DHELENE VIN DE TABLE LEVES CHAISES NI DIEU NI MALTRE SULFITE DU RAISIN ET BASTA,ouyiCAQkvTJUCRibRer4,40.0,40.0,1,14,6,35
PU ER SANCHA,ouyiCAQkvTJUCRibRer4,37.5,37.5,1,14,6,15
CSTK BAG VCUT PLAIN BAM CSTK BAG,ouyiCAQkvTJUCRibRer4,135.0,135.0,1,14,0,30
REDMAN AGAR AGAR POWDER,ouyiCAQkvTJUCRibRer4,11.4,11.4,1,21,25,8
REDMAN GINGER SMALL CHUNK,ouyiCAQkvTJUCRibRer4,12.8,12.8,1,21,6,8
CHAIRMANS RESERVE WHITE,QzJoFLYCEsRU1X0MfTFq,56.0,56.0,2,22,10,8
PROHIBITION ORIGINAL,QzJoFLYCEsRU1X0MfTFq,85.0,85.0,2,14,6,15
PROHIBITION NAVY STRENGTH,QzJoFLYCEsRU1X0MfTFq,85.0,85.0,2,14,6,15
CAULIFLOWER FLORET,LGNL4ll0Bjr5T8TW2XSw,4.0,4.0,2,14,6,15
CABBAGE CUT,LGNL4ll0Bjr5T8TW2XSw,3.5,3.5,2,8,28,12
SHREDDED WCABBAGE,LGNL4ll0Bjr5T8TW2XSw,2.8,2.8,2,14,6,32
SHREDDED CARROT,LGNL4ll0Bjr5T8TW2XSw,2.8,2.8,2,15,6,32
SLICED CARROT,LGNL4ll0Bjr5T8TW2XSw,2.8,2.8,2,15,32,32
LONG BRINJAL,LGNL4ll0Bjr5T8TW2XSw,3.5,3.5,2,14,16,37
TOMATO LXL,LGNL4ll0Bjr5T8TW2XSw,2.0,2.0,2,5,31,15
JAPANESE CUCUMBER,LGNL4ll0Bjr5T8TW2XSw,1.8,1.8,2,14,6,31
JAPANESE CUCUMBER,I5hRWTaQI9KQtytomjdI,1.4,1.4,1,14,6,31
JAPANESE CUCUMBER,O9WgoVBCaIDzi4QxYuU3,2.3,4.5,41,14,6,31
JAPANESE CUCUMBER,db032065-07d5-43c2-91b8-86a06a5d764e,2.5,4.2,31,14,6,31
JAPANESE CUCUMBER,rbpANC1F0I1GVQI75juA,0.7,0.9,172,14,6,31
JAPANESE CUCUMBER,CELESTIALGOURMET,0.3738,4.2,145,14,6,31
JAPANESE CUCUMBER,A9KBK7FuOowtwmzRlqHn,1.4,2.5,183,14,6,31
JAPANESE CUCUMBER,DTE3NjLMc3M5n5h6RcJ8,0.9,0.9,210,14,6,31
JAPANESE CUCUMBER,0sBibqOyTiY2TMwvultj,2.0,4.5,657,14,6,31
JAPANESE CUCUMBER,okOUrWpfJfQd7TmkFSvK,2.0,3.6,450,14,6,31
PRONTO TAHINI,LGNL4ll0Bjr5T8TW2XSw,40.0,40.0,1,14,6,15
CENELED,kAf0oakWPhiqtI5z1TYA,5.5,5.5,2,14,6,15
AGAR AGAR,kAf0oakWPhiqtI5z1TYA,5.0,5.0,2,14,6,15
XS TRANSLUCENT BAG,kAf0oakWPhiqtI5z1TYA,0.4673,0.4673,1,14,0,30
TRANSLUCENT BAG,kAf0oakWPhiqtI5z1TYA,0.5607,0.5607,1,14,0,30
TRASH BAG,kAf0oakWPhiqtI5z1TYA,5.6075,5.6075,1,14,0,30
BEBUDDIES AIYU ICE JELLY,kAf0oakWPhiqtI5z1TYA,1.0,1.0,1,4,6,9
ICE CREAMVANILLA,kAf0oakWPhiqtI5z1TYA,19.8,19.8,1,4,6,9
ICE CREAMCOCONUT CREAM,kAf0oakWPhiqtI5z1TYA,19.8,19.8,1,4,6,9
CUP BAG,kAf0oakWPhiqtI5z1TYA,0.9346,0.9346,1,14,0,30
PP BAG,kAf0oakWPhiqtI5z1TYA,9.8131,9.8131,1,14,0,30
BROCCOLI FLOWER,I5hRWTaQI9KQtytomjdI,3.5,3.5,2,14,6,15
WHITE BUTTON,I5hRWTaQI9KQtytomjdI,7.0,7.0,1,22,10,29
CHERRY TOMATO,I5hRWTaQI9KQtytomjdI,3.3,3.3,1,5,31,15
CHERRY TOMATO,HF3Jl0xM91QISNT4x421,2.7,4.6,77,5,31,15
CHERRY TOMATO,hPIiQloeyM6N7SybpXnN,4.5,4.6,83,5,31,15
CHERRY TOMATO,CELESTIALGOURMET,3.0,7.0,147,5,31,15
CHERRY TOMATO,OjKlvfiNMdOMarxa4K8T,3.9,7.0,278,5,31,15
SHALLOTS PEELED,I5hRWTaQI9KQtytomjdI,3.4,3.4,1,1,6,15
SHALLOTS PEELED,c70c071d-6fcb-4596-bd16-86a26c4e36fc,3.8,4.8,76,1,6,15
SHALLOTS PEELED,qUaDyfzQ5GxFE9dyOhao,3.8,4.8,122,1,6,15
SHALLOTS PEELED,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,3.5,4.8,357,1,6,15
SWEET BASIL LEAF,I5hRWTaQI9KQtytomjdI,6.0,6.0,1,24,14,28
BEETROOT,I5hRWTaQI9KQtytomjdI,2.4,2.4,1,14,6,15
BEAN STRING,I5hRWTaQI9KQtytomjdI,2.8,2.8,1,14,16,26
AVOCADOS,I5hRWTaQI9KQtytomjdI,1.5,1.5,1,14,6,15
AVOCADOS,k3UwIHEpLVJ9zlD4Po6S,1.6,1.9,51,14,6,15
AVOCADOS,bE7u2sgIZ3s8CKmwUqRr,1.4,1.4,173,14,6,15
AVOCADOS,bgvfuSmTFDXTyUDoN0qp,1.6,1.9,486,14,6,15
AVOCADOS,mbqvoTlZSi1aN0wjFDGn,1.6,1.6,572,14,6,15
SOUR CREAM FULL FATPURA,I5hRWTaQI9KQtytomjdI,49.0,49.0,1,14,6,39
CABBAGE RED,I5hRWTaQI9KQtytomjdI,1.6,1.6,1,14,28,12
CABBAGE RED,BURNTENDS,2.3,2.6,601,14,28,12
CABBAGE WHITE,I5hRWTaQI9KQtytomjdI,1.0,1.0,1,22,28,12
CABBAGE WHITE,okOUrWpfJfQd7TmkFSvK,1.1,1.45,418,22,28,12
BROILER BONELESS SKINLESS BREAST,I5hRWTaQI9KQtytomjdI,5.0,5.0,1,14,6,24
FROZEN BRAZIL BEEF RIBEYE,I5hRWTaQI9KQtytomjdI,13.5,13.5,1,9,3,34
MINCED WITH SKIN,I5hRWTaQI9KQtytomjdI,4.6,4.6,1,14,6,15
IQF RASPBERRIES RAVIFRUIT,I5hRWTaQI9KQtytomjdI,63.8,63.8,1,14,6,15
KAILAN BABY THAI,I5hRWTaQI9KQtytomjdI,4.6,4.6,1,14,6,7
LARGE TAU KWA,I5hRWTaQI9KQtytomjdI,0.41,0.41,1,14,6,15
HAM CHICKEN HONEY BAKED,I5hRWTaQI9KQtytomjdI,14.5,14.5,1,19,1,25
HALAL FROZEN CHICKEN BONELESS SKINLESS WHOLE LEG CUBE,I5hRWTaQI9KQtytomjdI,3.8,3.8,1,19,29,24
BEEF SHORTRIBS USA,PEelC4luLaL87idC3bez,45.0,50.0,6,9,3,34
PORK JOWL IBERICO,PEelC4luLaL87idC3bez,42.0,46.0,6,14,27,15
BLACK TRUFFLE SAUCE,PEelC4luLaL87idC3bez,15.0,15.0,3,13,8,23
CLAM MEAT,PEelC4luLaL87idC3bez,12.0,12.0,3,14,6,11
SUGAR,PEelC4luLaL87idC3bez,7.5,7.5,2,18,15,8
FRIED ICE CREAM,PEelC4luLaL87idC3bez,4.5,4.5,2,4,6,9
FRIED PORK,PEelC4luLaL87idC3bez,6.5,7.0,2,14,27,15
FRIED CHICKEN,PEelC4luLaL87idC3bez,13.2,14.0,2,19,29,17
FRIED BREAD,PEelC4luLaL87idC3bez,3.0,3.0,2,14,6,15
FRIED BEEF,PEelC4luLaL87idC3bez,4.8,5.0,2,9,3,34
OYSTERS,PEelC4luLaL87idC3bez,3.0,4.0,2,14,6,15
COCONUT JAM,PEelC4luLaL87idC3bez,3.6,3.6,2,14,6,15
RIBEYE MINCED,PEelC4luLaL87idC3bez,10.0,13.0,2,14,6,15
SPICE,PEelC4luLaL87idC3bez,7.5,7.5,2,14,6,15
CAKE FLOUR,PEelC4luLaL87idC3bez,2.75,2.75,2,14,17,15
PEANUT BUTTER,PEelC4luLaL87idC3bez,3.25,3.25,2,14,6,15
BUTTER UNSALTED,PEelC4luLaL87idC3bez,10.5,10.5,2,14,6,1
SILK SOY MILK,PEelC4luLaL87idC3bez,7.0,7.0,2,14,6,15
ARABICA BEANS,PEelC4luLaL87idC3bez,15.0,15.0,2,14,6,15
TOMATO LOCAL,xT9A0d9RczE9hDoFwgRK,2.5,2.5,6,5,18,2
TOMATO LOCAL,Y7UmL0O87UJXe0mlOJ2h,2.2,3.0,272,5,18,2
BEAN SPROUT,xT9A0d9RczE9hDoFwgRK,1.4,1.4,6,14,13,37
BEAN SPROUT,HRMiJjjpBBZWNPPkqyGi,1.1,1.1,20,14,13,37
BEAN SPROUT,NxeESPTqOm4BzdioOHNN,1.2,1.2,245,14,13,37
BEAN SPROUT,m3FCjwBwqzZve4VCXjQn,1.2,3.0,204,14,13,37
ONION PEELED,xT9A0d9RczE9hDoFwgRK,2.0,2.2,6,1,2,4
ONION PEELED,5ASEPlvGDhzzsqBtSbv1,2.5,2.5,14,1,2,4
ONION PEELED,CLFrg9CzZG1KynRwwPpV,1.8,3.0,11,1,2,4
ONION PEELED,NwKAt2s45suG4zWjrtzb,1.8,1.9,18,1,2,4
ONION PEELED,hJtX5oWjVTQAWpJ4gMZ5,1.6542,3.0,105,1,2,4
ONION PEELED,tMffMi0bBNVlzTLTBHiL,1.8,3.6,326,1,2,4
ONION PEELED,7w4iCJYkZmWa1jACSKhr,1.8,2.8,415,1,2,4
EDIBLE FLOWER,xT9A0d9RczE9hDoFwgRK,10.0,10.0,6,14,6,15
EDIBLE FLOWER,6sjtUA8uHXk1vGca9ltC,6.5,9.5,129,14,6,15
EGGS FRESH TRAY,xT9A0d9RczE9hDoFwgRK,6.0,6.5,6,6,6,16
COOKING OILREDMAN,xT9A0d9RczE9hDoFwgRK,33.0,33.0,5,14,6,15
MUSHROOM WHITE BUTTON,xT9A0d9RczE9hDoFwgRK,8.8,8.8,5,11,10,29
MUSHROOM WHITE BUTTON,wT2iwI23Zj7qrI2Ntpiu,8.8,8.8,29,11,10,29
MUSHROOM WHITE BUTTON,NwKAt2s45suG4zWjrtzb,8.0,9.5,19,11,10,29
MUSHROOM WHITE BUTTON,nsktAYJt6SCG2eThiqOc,8.8,8.8,24,11,10,29
MUSHROOM WHITE BUTTON,7w4iCJYkZmWa1jACSKhr,8.0,10.5,478,11,10,29
MUSHROOM SHITAKE MEDIUM,xT9A0d9RczE9hDoFwgRK,8.25,8.25,5,11,30,21
LETTUCE ROMAINE BABY,xT9A0d9RczE9hDoFwgRK,3.6,3.6,4,23,11,22
LETTUCE ROMAINE BABY,FFjNUN2Sh5CYVvRLjWU6,4.8,4.8,6,23,11,22
LETTUCE ROMAINE BABY,PICKLEVILLE,4.8,4.8,138,23,11,22
LETTUCE ROMAINE BABY,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,4.8,5.5,285,23,11,22
LAMB WESTON FREEZE CHILLED FRIES CRINKLE,xT9A0d9RczE9hDoFwgRK,20.0,20.0,4,8,14,19
TEMPURA FISH FILLET,xT9A0d9RczE9hDoFwgRK,42.0,42.0,4,6,7,15
TOMATO RED CHERRY,xT9A0d9RczE9hDoFwgRK,4.2,4.2,4,5,31,20
TOMATO RED CHERRY,wT2iwI23Zj7qrI2Ntpiu,4.2,4.2,34,5,31,20
TOMATO RED CHERRY,iaronCXV4Lbepr7lM7hj,4.2,4.2,85,5,31,20
TOMATO RED CHERRY,nsktAYJt6SCG2eThiqOc,4.2,4.2,29,5,31,20
